source_pdf,mention,kind,evidence
RPL5536C10000G26.pdf,密封,process,密封定义
RPL5536C10000G26.pdf,密封,process,密封定义1
RPL5536C10000G26.pdf,密封,process,密封说明
RPL5536C10000G26.pdf,安装,process,所有与复合材料相关的永久性连接紧固件按EN12用密封材料1进行湿安装。
RPL5536C10000G26.pdf,紧固件,process,所有与复合材料相关的永久性连接紧固件按EN12用密封材料1进行湿安装。
RPL5536C10000G26.pdf,密封,process,所有与复合材料相关的永久性连接紧固件按EN12用密封材料1进行湿安装。
RPL5536C10000G26.pdf,密封,process,密封类型
RPL5536C10000G26.pdf,安装,process,紧固件湿安装
RPL5536C10000G26.pdf,紧固件,process,紧固件湿安装
RPL5536C10000G26.pdf,密封,process,密封顺序
RPL5536C10000G26.pdf,密封,process,密封厚度
RPL5536C10000G26.pdf,密封,process,密封长度
RPL5536C10000G26.pdf,密封,process,密封材料1
RPL5536C10000G26.pdf,密封,process,密封定义2
RPL5536C10000G26.pdf,密封,process,电搭接贴合面密封：凹陷垫圈NAS1169C10与复合材料零件的铜网贴合面、托板螺母
RPL5536C10000G26.pdf,密封,process,MS21076L3N（托板）与金属零件贴合面进行贴合面密封。
RPL5536C10000G26.pdf,密封,process,贴合面密封
RPL5536C10000G26.pdf,密封,process,密封定义3
RPL5536C10000G26.pdf,紧固件,process,紧固件电搭接后的密封 - 紧固件电搭接处理后，飞机外表面凹陷垫圈处，钉头处及铜网贴合面边
RPL5536C10000G26.pdf,密封,process,紧固件电搭接后的密封 - 紧固件电搭接处理后，飞机外表面凹陷垫圈处，钉头处及铜网贴合面边
RPL5536C10000G26.pdf,密封,process,缘处使用密封材料1填平，表面平整且过渡光滑，密封范围超出凹陷垫圈边缘至少6.4mm；托板螺
RPL5536C10000G26.pdf,密封,process,母MS21076L3N（托板）边缘与金属零件处用密封材料1填角密封。
RPL5536C10000G26.pdf,密封,process,电搭接密封
RPL5536C10000G26.pdf,密封,process,密封定义4
RPL5536C10000G26.pdf,安装,process,所有与复合材料相关的非永久性连接紧固件（含起吊点，除电搭接紧固件）按EN12进行湿安装用
RPL5536C10000G26.pdf,紧固件,process,所有与复合材料相关的非永久性连接紧固件（含起吊点，除电搭接紧固件）按EN12进行湿安装用
RPL5536C10000G26.pdf,安装,process,密封材料1进行湿安装。
RPL5536C10000G26.pdf,密封,process,密封材料1进行湿安装。
RPL5536C10000G26.pdf,制孔,process,EN2=P00000896|纯金属结构的连接，高锁螺栓制孔方法按CPS2003，采用标准干涉配合。|CPS2003
RPL5536C10000G26.pdf,制孔,process,EN3=P00000109|金属零件的制孔按CPS2010。|CPS2010
RPL5536C10000G26.pdf,制孔,process,EN4=P00000110|复合材料制件的制孔按CPS2011。|CPS2011
RPL5536C10000G26.pdf,安装,process,EN5=P00000130|高锁螺栓的安装按CPS2112。|CPS2112
RPL5536C10000G26.pdf,铆,process,EN6=P00001473|实心铆钉铆接程序按CPS2100。Riveting process for the solid rivets refer to CPS2100.|CPS2100
RPL5536C10000G26.pdf,安装,process,EN7=P00000143|复合材料结构的高锁螺栓和环槽钉的安装 按CPS2142。|CPS2142
RPL5536C10000G26.pdf,安装,process,EN8=P00000145|复合材料结构的螺栓和螺母安装按CPS2144。|CPS2144
RPL5536C10000G26.pdf,制孔,process,EN9=NAS类螺栓与铆接托板螺母MS21076L3N组合连接的零件制孔范围为5.055mm至5.131mm，与铆接托板螺母
RPL5536C10000G26.pdf,铆,process,EN9=NAS类螺栓与铆接托板螺母MS21076L3N组合连接的零件制孔范围为5.055mm至5.131mm，与铆接托板螺母
RPL5536C10000G26.pdf,制孔,process,MS21076L08N组合连接的零件制孔范围为4.318mm至4.572mm；凹陷垫圈NAS1169C10锪窝窝径为9.65~9.85mm。
RPL5536C10000G26.pdf,安装,process,EN10=紧固件间距距离公差、等距公差为±0.8mm；边距公差为±0.5mm。允许安装在前缘舱非气动表面上的高锁螺栓
RPL5536C10000G26.pdf,紧固件,process,EN10=紧固件间距距离公差、等距公差为±0.8mm；边距公差为±0.5mm。允许安装在前缘舱非气动表面上的高锁螺栓
RPL5536C10000G26.pdf,安装,process,根据现场实际情况反转其安装方向，螺母端如是复材零件需加垫圈NAS1149V0316H。
RPL5536C10000G26.pdf,密封,process,EN12=P00000001|密封按CPS1000。|CPS1000
RPL5536C10000G26.pdf,安装,process,FL1=在安装螺栓NAS8703U4及NAS8703U5处，安装前应清理金属及带有金属雷击防护的复合材料表面，金属零件表面
RPL5536C10000G26.pdf,安装,process,片区域3.2mm；并按EN12及密封定义2进行电气搭接前的贴合面密封；该紧固件不要求湿安装，装配完成后要求凹陷垫
RPL5536C10000G26.pdf,紧固件,process,片区域3.2mm；并按EN12及密封定义2进行电气搭接前的贴合面密封；该紧固件不要求湿安装，装配完成后要求凹陷垫
RPL5536C10000G26.pdf,密封,process,片区域3.2mm；并按EN12及密封定义2进行电气搭接前的贴合面密封；该紧固件不要求湿安装，装配完成后要求凹陷垫
RPL5536C10000G26.pdf,密封,process,圈与铜网之间、托板螺母与金属肋之间的电阻值均不大于5mΩ；最后再按EN12及密封定义3进行密封。
RPL5536C10000G26.pdf,铆,process,FL2=辅助梁上四处工艺孔使用完成后，用NAS1097AD6-5铆钉堵孔。
RPL5536C10000G26.pdf,铆,process,实心铆钉
RPL5536C10000G26.pdf,铆,process,沉头铆钉
RPL5536C10000G26.pdf,铆,process,铆钉
RPL5536C10000G26.pdf,铆,process,锁螺母（铆钉孔间距小）
RPL5536C10000G26.pdf,铆,process,COLUMBIUM ALLOY铝合金及钛铌合金实心铆钉采购规范
RPL5536C10000G26.pdf,铆,process,TITANIUM COLUMBIUM ALLOY普通圆头实心铆钉
RPL5536C10000G26.pdf,紧固件,process,紧固件孔尺寸及公差规定Size and Tolerance of Fastener Holes
RPL5536C10000G26.pdf,制孔,process,金属零件的制孔Drilling on Metal Structures
RPL5536C10000G26.pdf,制孔,process,复合材料制件的制孔Drilling of Composite Parts
RPL5536C10000G26.pdf,安装,process,高锁螺栓的安装Installation of Threaded Pins
RPL5536C10000G26.pdf,铆,process,实心铆钉铆接程序Riveting Process of Solid Rivets
RPL5536C10000G26.pdf,安装,process,复合材料结构的高锁螺栓和环槽钉的安装Installation of Hi-Lite Bolts
RPL5536C10000G26.pdf,安装,process,复合材料结构的螺栓和螺母安装Installation of Bolts and Nuts in
RPL5536C10000G26.pdf,密封,process,通用密封General Sealing
RPL5536C10000G26.pdf,密封,process,"防腐蚀密封化合物Sealing Compound,Corrosion Inhibitive"
RPL5536C10000G26.pdf,密封,process,防雷击和导电密封剂LIGHTNING STRIKE PROTECTIVEAND
RPL5536C10000G26.pdf,密封,process,低密度通用密封化合物HIGH PERFORANCEMULTI-
RPL5536C10000G26.pdf,密封,process,低粘附力密封剂Sealing CompondLow Adhesion
