算法,种群规模,最大迭代次数,平均收敛迭代次数,装配方向维持次数,装配工具维持次数,装配工艺连贯性维持次数,连接断裂惩罚,空间跨度惩罚,空间流线折返惩罚,KG连贯性惩罚,最优目标函数值,平均目标函数值,最优解命中率(%),平均运行时间/s
GraphPlan,1,44,42,4,40,0,0.0,99.173256,2.848673,99.173256,116.17325574633115,116.173256,0.0,0.033306
PSO,40,80,77.05,8,34,0,0.0,66.161903,1.523941,66.161903,89.16190265901643,127.061677,0.0,3.367543
GA,40,80,76.75,9,30,0,0.0,68.229776,1.742078,68.229776,99.22977579895789,131.343601,0.0,6.368896
KG-IGA,40,80,68.6,7,32,0,0.0,13.550926,0.068946,13.550926,39.050925900686806,75.435643,5.0,8.253512
KG-IGA-CM,40,80,69.35,7,32,0,0.0,13.756774,0.068946,13.756774,39.25677389672482,75.37795,0.0,9.13975
KG-IGA-CM-NR,40,80,75.65,6,32,0,0.0,38.518334,0.862727,38.518334,64.01833384513554,114.113059,0.0,8.305834
KG-IGAv2,40,80,76.85,6,32,0,0.0,47.496444,1.123967,47.496444,72.99644415199478,116.738904,0.0,6.773778
KG-IGAv3,40,80,78.6,4,30,0,0.0,46.107342,1.084453,46.107342,83.10734203671251,106.16894,0.0,7.91259
KG-IGAv5,40,80,71.75,7,32,0,0.0,14.491161,0.068946,14.491161,39.99116076121859,86.723415,0.0,8.614715
