a_part_number,a_name,a_category,b_part_number,b_name,b_category,record_count,interference_nums,result_types
5536C10311G72,3号肋,前缘舱肋,5536C10313G70,角片,角材,1,33,Contact
5536C10311G72,3号肋,前缘舱肋,5536C10314G70,角片,角材,1,34,Contact
5536C10311G72,3号肋,前缘舱肋,5536C10303G71,3号肋角材,角材,1,32,Contact
5536C10311G72,3号肋,前缘舱肋,5536C11005G41,左侧2号夹芯板,壁板,1,35,Contact
5536C10311G72,3号肋,前缘舱肋,5536C11006G41,右侧2号夹芯板,壁板,1,36,Contact
5536C10311G72,3号肋,前缘舱肋,5536C12000G42,辅助梁组件,辅助梁,1,37,Contact
5536C10313G70,角片,角材,5536C12000G42,辅助梁组件,辅助梁,1,38,Contact
5536C10314G70,角片,角材,5536C12000G42,辅助梁组件,辅助梁,1,39,Contact
5536C10403G71,4号肋角材,角材,5536C10411G72,4号肋,前缘舱肋,1,40,Contact
5536C10411G72,4号肋,前缘舱肋,5536C10413G72,4号肋缘条,缘条,1,41,Contact
5536C10411G72,4号肋,前缘舱肋,5536C10414G72,4号肋缘条,缘条,1,42,Contact
5536C10411G72,4号肋,前缘舱肋,5536C11005G41,左侧2号夹芯板,壁板,1,43,Contact
5536C10411G72,4号肋,前缘舱肋,5536C11006G41,右侧2号夹芯板,壁板,1,44,Contact
5536C10411G72,4号肋,前缘舱肋,5536C12000G42,辅助梁组件,辅助梁,1,45,Contact
5536C10413G72,4号肋缘条,缘条,5536C11007G41,左侧3号夹芯板,壁板,1,46,Contact
5536C10413G72,4号肋缘条,缘条,5536C12000G42,辅助梁组件,辅助梁,1,47,Contact
5536C10414G72,4号肋缘条,缘条,5536C11008G41,右侧3号夹芯板,壁板,1,48,Contact
5536C10414G72,4号肋缘条,缘条,5536C12000G42,辅助梁组件,辅助梁,1,49,Contact
5536C10503G71,5号肋角材,角材,5536C10511G72,5号肋,前缘舱肋,1,50,Contact
5536C10511G72,5号肋,前缘舱肋,5536C10513G70,角片,角材,1,51,Contact
5536C10511G72,5号肋,前缘舱肋,5536C10514G70,角片,角材,1,52,Contact
5536C10511G72,5号肋,前缘舱肋,5536C11007G41,左侧3号夹芯板,壁板,1,53,Contact
5536C10511G72,5号肋,前缘舱肋,5536C11008G41,右侧3号夹芯板,壁板,1,54,Contact
5536C10511G72,5号肋,前缘舱肋,5536C12000G42,辅助梁组件,辅助梁,1,55,Contact
5536C10513G70,角片,角材,5536C12000G42,辅助梁组件,辅助梁,1,56,Contact
5536C10514G70,角片,角材,5536C12000G42,辅助梁组件,辅助梁,1,57,Contact
5536C10603G71,6号肋角材,角材,5536C10611G72,6号肋,前缘舱肋,1,58,Contact
5536C10611G72,6号肋,前缘舱肋,5536C10613G70,角片,角材,1,59,Contact
5536C10611G72,6号肋,前缘舱肋,5536C10614G70,角片,角材,1,60,Contact
5536C10611G72,6号肋,前缘舱肋,5536C11007G41,左侧3号夹芯板,壁板,1,61,Contact
5536C10611G72,6号肋,前缘舱肋,5536C11008G41,右侧3号夹芯板,壁板,1,62,Contact
5536C10611G72,6号肋,前缘舱肋,5536C12000G42,辅助梁组件,辅助梁,1,63,Contact
5536C10613G70,角片,角材,5536C12000G42,辅助梁组件,辅助梁,1,64,Contact
5536C10614G70,角片,角材,5536C12000G42,辅助梁组件,辅助梁,1,65,Contact
5536C10101G71,1号肋,前缘舱肋,5536C10103G71,1号肋角材,角材,1,4,Contact
5536C10101G71,1号肋,前缘舱肋,5536C10105G71,1号肋,前缘舱肋,1,5,Contact
5536C10101G71,1号肋,前缘舱肋,5536C11001G41,左侧下封面板,壁板,5,6;7;8;9;10,Contact
5536C10101G71,1号肋,前缘舱肋,5536C11002G41,右侧下封面板,壁板,4,11;12;13;14,Contact
5536C10101G71,1号肋,前缘舱肋,5536C11003G41,左侧1号夹芯板,壁板,1,15,Contact
5536C10101G71,1号肋,前缘舱肋,5536C12000G42,辅助梁组件,辅助梁,2,16;17,Contact
5536C14001G71,1号连接带板,连接带板,5536C11003G41,左侧1号夹芯板,壁板,1,76,Contact
5536C14002G71,1号连接带板,连接带板,5536C11004G41,右侧1号夹芯板,壁板,1,79,Contact
5536C14003G71,2号连接带板,连接带板,5536C11005G41,左侧2号夹芯板,壁板,1,84,Contact
5536C14004G71,2号连接带板,连接带板,5536C11006G41,右侧2号夹芯板,壁板,1,90,Contact
5536C14005G71,3号连接带板,连接带板,5536C11005G41,左侧2号夹芯板,壁板,1,85,Contact
5536C14006G71,3号连接带板,连接带板,5536C11006G41,右侧2号夹芯板,壁板,1,91,Contact
5536C14007G71,4号连接带板,连接带板,5536C11007G41,左侧3号夹芯板,壁板,1,96,Contact
5536C14008G71,4号连接带板,连接带板,5536C11008G41,右侧3号夹芯板,壁板,1,103,Contact
5536C14009G71,5号连接带板,连接带板,5536C11007G41,左侧3号夹芯板,壁板,1,97,Contact
5536C14010G71,5号连接带板,连接带板,5536C11008G41,右侧3号夹芯板,壁板,1,104,Contact
5536C14011G71,6号连接带板,连接带板,5536C11007G41,左侧3号夹芯板,壁板,1,98,Contact
5536C14012G71,6号连接带板,连接带板,5536C11008G41,右侧3号夹芯板,壁板,1,105,Contact
5536C10105G71,1号肋,前缘舱肋,5536C11002G41,右侧下封面板,壁板,1,18,Contact
5536C10105G71,1号肋,前缘舱肋,5536C11004G41,右侧1号夹芯板,壁板,1,19,Contact
5536C10105G71,1号肋,前缘舱肋,5536C12000G42,辅助梁组件,辅助梁,2,20;21,Contact
5536C10203G71,2号肋角材,角材,5536C10211G71,2号肋,前缘舱肋,1,22,Contact
5536C10211G71,2号肋,前缘舱肋,5536C10213G70,2号肋缘条,缘条,1,23,Contact
5536C10211G71,2号肋,前缘舱肋,5536C10214G70,2号肋缘条,缘条,1,24,Contact
5536C10211G71,2号肋,前缘舱肋,5536C11003G41,左侧1号夹芯板,壁板,1,25,Contact
5536C10211G71,2号肋,前缘舱肋,5536C11004G41,右侧1号夹芯板,壁板,1,26,Contact
5536C10211G71,2号肋,前缘舱肋,5536C12000G42,辅助梁组件,辅助梁,1,27,Contact
5536C10213G70,2号肋缘条,缘条,5536C11005G41,左侧2号夹芯板,壁板,1,28,Contact
5536C10213G70,2号肋缘条,缘条,5536C12000G42,辅助梁组件,辅助梁,1,29,Contact
5536C10214G70,2号肋缘条,缘条,5536C11006G41,右侧2号夹芯板,壁板,1,30,Contact
5536C10214G70,2号肋缘条,缘条,5536C12000G42,辅助梁组件,辅助梁,1,31,Contact
5536C11003G41,左侧1号夹芯板,壁板,5536C12000G42,辅助梁组件,辅助梁,1,75,Contact
5536C11004G41,右侧1号夹芯板,壁板,5536C12000G42,辅助梁组件,辅助梁,1,78,Contact
5536C11005G41,左侧2号夹芯板,壁板,5536C12000G42,辅助梁组件,辅助梁,2,82;83,Contact
5536C11006G41,右侧2号夹芯板,壁板,5536C12000G42,辅助梁组件,辅助梁,2,88;89,Contact
5536C11007G41,左侧3号夹芯板,壁板,5536C12000G42,辅助梁组件,辅助梁,1,95,Contact
5536C11008G41,右侧3号夹芯板,壁板,5536C12000G42,辅助梁组件,辅助梁,1,102,Contact
