run,shared_initial_csv,kg_curve_start,rl_curve_start,kg_final_fitness,rl_final_fitness,same_initial_csv,same_initial_curve,csv_matches_curve_start,winner
1,410.307262,410.30726228546575,410.30726228546575,103.9943921960041,140.16202302445015,True,True,True,KG-IGA
2,550.402294,550.4022936000481,550.4022936000481,135.31662495248105,139.94792350455535,True,True,True,KG-IGA
3,482.719785,482.71978482917444,482.71978482917444,108.45773758315066,142.19807945575462,True,True,True,KG-IGA
4,513.746542,513.7465421182328,513.7465421182328,131.89757680501978,125.91755868295529,True,True,True,RL
5,496.56884,496.568839801942,496.568839801942,103.62537920237058,140.54071033907093,True,True,True,KG-IGA
6,440.850071,440.8500705550585,440.8500705550585,140.62379324649203,138.27418166534176,True,True,True,RL
7,466.419639,466.4196392770145,466.4196392770145,99.46998294700796,138.34863227279698,True,True,True,KG-IGA
8,449.973594,449.9735938229278,449.9735938229278,122.38221687849509,133.98508012621573,True,True,True,KG-IGA
9,493.73885,493.7388498383297,493.7388498383297,120.55175954223265,143.319006305166,True,True,True,KG-IGA
10,548.239569,548.2395685899917,548.2395685899917,85.47342020602784,135.85974322031186,True,True,True,KG-IGA
11,527.38942,527.3894199095156,527.3894199095156,143.64006981477792,135.15349839944366,True,True,True,RL
12,447.876314,447.87631373707643,447.87631373707643,75.46181148619395,140.0183109581984,True,True,True,KG-IGA
13,535.898178,535.898177562559,535.898177562559,97.2366950098899,135.5476835471534,True,True,True,KG-IGA
14,522.092619,522.0926192166492,522.0926192166492,104.67506374391846,144.16678554528357,True,True,True,KG-IGA
15,525.318799,525.3187991070304,525.3187991070304,136.20655074485455,139.4172354151978,True,True,True,KG-IGA
16,407.443316,407.44331595354106,407.44331595354106,125.03002363840004,145.0908505173548,True,True,True,KG-IGA
17,394.598656,394.5986564313663,394.5986564313663,122.38228480972506,137.3357673360485,True,True,True,KG-IGA
18,502.186548,502.1865483056359,502.1865483056359,113.87925192989132,136.52152716602808,True,True,True,KG-IGA
19,525.611389,525.6113890597421,525.6113890597421,102.846583890886,136.9919633576476,True,True,True,KG-IGA
20,517.637638,517.6376377584669,517.6376377584669,109.6686011016186,135.06271333146623,True,True,True,KG-IGA
